PM2.5,PM10,Temp,Humidity,hour,pm25_lag_1,pm25_lag_2,temp_lag_1
46.616,61.528000000000006,29.499999999999996,88.83,1,45.644999999999996,47.214285714285715,29.924999999999997
47.586999999999996,63.271,29.075,90.485,2,46.616,45.644999999999996,29.499999999999996
48.558,65.014,28.65,92.14,3,47.586999999999996,46.616,29.075
49.528999999999996,66.757,28.225,93.795,4,48.558,47.586999999999996,28.65
50.5,68.5,27.8,95.45,5,49.528999999999996,48.558,28.225
49.083333333333336,67.0,30.916666666666668,85.48333333333333,6,50.5,49.528999999999996,27.8
47.666666666666664,65.5,34.03333333333333,75.51666666666667,7,49.083333333333336,50.5,30.916666666666668
46.25,64.0,37.15,65.55,8,47.666666666666664,49.083333333333336,34.03333333333333
44.166,56.826,37.36666666666667,64.43333333333334,9,46.25,47.666666666666664,37.15
51.075,67.75,37.8,62.175,10,44.166,46.25,37.36666666666667
36.9125,52.24,38.1,61.400000000000006,11,51.075,44.166,37.8
40.84571428571429,54.14714285714285,35.65,68.4,12,36.9125,51.075,38.1
39.416666666666664,51.50333333333333,36.333333333333336,66.31666666666666,13,40.84571428571429,36.9125,35.65
38.37777777777777,49.93333333333333,34.2125,72.2375,14,39.416666666666664,40.84571428571429,36.333333333333336
34.41875,45.71875,34.42857142857143,71.25714285714285,15,38.37777777777777,39.416666666666664,34.2125
30.98857142857143,41.44571428571429,33.516666666666666,73.63333333333334,16,34.41875,38.37777777777777,34.42857142857143
29.691666666666666,39.458333333333336,32.11666666666667,78.46666666666665,17,30.98857142857143,34.41875,33.516666666666666
29.563333333333333,38.265,31.1,83.12,18,29.691666666666666,30.98857142857143,32.11666666666667
30.141428571428573,37.605714285714285,30.97142857142857,83.61428571428571,19,29.563333333333333,29.691666666666666,31.1
32.0,40.0,30.75,84.9,20,30.141428571428573,29.563333333333333,30.97142857142857
30.5,39.275,30.622222222222224,84.87777777777778,21,32.0,30.141428571428573,30.75
40.05714285714286,53.85,30.442857142857143,85.78571428571429,22,30.5,32.0,30.622222222222224
37.827777777777776,49.663333333333334,30.08181818181818,87.74545454545454,23,40.05714285714286,30.5,30.442857142857143
77.74,95.25,29.983333333333334,88.46666666666665,0,37.827777777777776,40.05714285714286,30.08181818181818
